com_x, com_y, target_x, target_y, connectivity, cohesion, vel_mismatch, en_deviation
3.442494465984961494e+01,4.134897881131882258e+01,2.359999999999998721e+01,5.000000000000000000e+01,9.399999999999999467e-01,4.620158994017960197e+01,1.588651284282991810e+03,1.184071307380009236e-01
3.453805745883406075e+01,4.249619099042833881e+01,2.599999999999997868e+01,5.000000000000000000e+01,9.599999999999999645e-01,4.228717789752571576e+01,1.292157495728147296e+03,8.813842256342828418e-02
3.476045093450905199e+01,4.369342343393009287e+01,2.759999999999997300e+01,5.000000000000000000e+01,9.799999999999999822e-01,3.424785781621579162e+01,1.001600186111724497e+03,8.393140736313896288e-02
3.497056358684859845e+01,4.428983384886887364e+01,2.879999999999996874e+01,5.000000000000000000e+01,1.000000000000000000e+00,3.078591368763793668e+01,7.856418110562326547e+02,8.043087280808623729e-02
3.552649770974980470e+01,4.513444519084576001e+01,3.079999999999996163e+01,5.000000000000000000e+01,9.799999999999999822e-01,2.871262509177893563e+01,5.109807589888656594e+02,8.281466047180302548e-02
3.618626412253249924e+01,4.572289867920594730e+01,3.279999999999995453e+01,5.000000000000000000e+01,9.799999999999999822e-01,2.658956731277458019e+01,3.459951610760402900e+02,8.737275889533921425e-02
3.729079023951724281e+01,4.652586301637204969e+01,3.479999999999994742e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.115332362816308986e+01,1.888339426790042808e+02,9.713288615411898308e-02
3.821591546951974294e+01,4.702330341573423311e+01,3.639999999999994174e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.829218356234540721e+01,1.067896697020444066e+02,9.769657713554759371e-02
3.957009522726270490e+01,4.754441448185060892e+01,3.839999999999993463e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.672951825014352067e+01,4.634181378869632795e+01,1.046126876897130464e-01
4.052545225599494927e+01,4.783406125566954614e+01,3.999999999999992895e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.567881146468789844e+01,2.480217596186672679e+01,1.078008036400001923e-01
4.179530788954075149e+01,4.815186681030050408e+01,4.039999999999992752e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.466709908007317509e+01,1.635451797801560758e+01,1.130700372641333246e-01
4.246803303738799684e+01,4.830118598637068317e+01,4.079999999999992610e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.445535585915760635e+01,9.899765931103368999e+00,1.123673403847612884e-01
