com_x, com_y, target_x, target_y, connectivity, cohesion, vel_mismatch, en_deviation
3.759414786809147557e+01,3.741521974106754556e+01,2.359999999999998721e+01,5.000000000000000000e+01,9.399999999999999467e-01,3.982466568484915115e+01,1.620887162122129894e+03,1.141686588633404192e-01
3.716390460848609223e+01,3.891698324930646180e+01,2.519999999999998153e+01,5.000000000000000000e+01,9.399999999999999467e-01,3.483820497224260038e+01,1.315854457415441175e+03,9.461628291591477058e-02
3.688370412416971078e+01,4.075466226476159903e+01,2.679999999999997584e+01,5.000000000000000000e+01,1.000000000000000000e+00,3.048641289220083905e+01,9.510831183256153736e+02,7.559482695078088843e-02
3.689574404508246630e+01,4.171865740781644405e+01,2.879999999999996874e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.729399955455424731e+01,6.855623677522670505e+02,7.419727674011565577e-02
3.732132790003048228e+01,4.312693505453359677e+01,3.119999999999996021e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.289366319934907779e+01,4.366622180947722995e+02,8.242484427325033614e-02
3.787303413607144620e+01,4.411888579456478254e+01,3.239999999999995595e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.026757442674089660e+01,2.709810414983388114e+02,8.536996106890985814e-02
3.882199785174700679e+01,4.514738215683941291e+01,3.399999999999995026e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.815898358760505005e+01,1.294245589205298756e+02,9.187740187714767137e-02
3.968752039979573709e+01,4.580943517421132327e+01,3.599999999999994316e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.687619118765658399e+01,6.503277627023602747e+01,9.891292590115856320e-02
4.093574402337571172e+01,4.651328582404065770e+01,3.759999999999993747e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.513496455327306300e+01,3.239386853408121425e+01,1.017390766603512992e-01
4.195908662061509631e+01,4.697770746238244755e+01,3.999999999999992895e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.412306152700111461e+01,1.462977169628337393e+01,1.041629282803220868e-01
4.338722709625021423e+01,4.748564220367931910e+01,4.199999999999992184e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.332487416954868564e+01,7.529773365370749261e+00,1.075349595616891668e-01
4.458190950316929246e+01,4.782607422169665057e+01,4.439999999999991331e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.273747405228524343e+01,3.507807210631607386e+00,1.098199955014026175e-01
4.623553477020759317e+01,4.822809535634753075e+01,4.639999999999990621e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.335821903833001656e+01,1.659827504697112488e+00,1.134823268030860782e-01
4.729158535258781626e+01,4.843115838249742211e+01,4.879999999999989768e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.302001298870219337e+01,1.040334753276250357e+00,1.130193193744428309e-01
4.926142675511911762e+01,4.873716076073107928e+01,5.079999999999989058e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.258137523494083787e+01,7.282525158219272932e-01,1.141873642023307350e-01
5.023188437010837504e+01,4.886609212186662177e+01,5.319999999999988205e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.230811886681604150e+01,9.271621184911450486e-01,1.145955692482769489e-01
5.192038037012324736e+01,4.905790149741928730e+01,5.479999999999987637e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.254299136614605636e+01,7.765147232123753573e-01,1.155976256913083811e-01
5.343852994154952540e+01,4.920343337993190147e+01,5.639999999999987068e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.259236228506082611e+01,7.574381538431171901e-01,1.139771095546637386e-01
5.530698812532698838e+01,4.935046287755526606e+01,5.799999999999986500e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.265148548885938240e+01,9.938871236427108125e-01,1.144833252414865776e-01
5.654793725364862667e+01,4.943243291293069319e+01,5.919999999999986073e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.277768080891776670e+01,9.180474416265533844e-01,1.142303682159737793e-01
