com_x, com_y, target_x, target_y, connectivity, cohesion, vel_mismatch, en_deviation
4.106751329698759889e+01,3.877845464542654241e+01,2.519999999999998153e+01,5.000000000000000000e+01,8.800000000000000044e-01,4.349346860421584182e+01,1.723686359386481627e+03,7.546553871258716850e-02
3.993370054996189822e+01,4.073798634842628985e+01,2.639999999999997726e+01,5.000000000000000000e+01,9.200000000000000400e-01,3.595494887379215498e+01,1.428437594669065447e+03,8.844358277925887246e-02
3.939600244020592612e+01,4.180268844222878499e+01,2.879999999999996874e+01,5.000000000000000000e+01,9.599999999999999645e-01,3.181396846332632933e+01,1.035848356458007629e+03,8.798264774459926829e-02
3.915330050169545473e+01,4.295410557802766505e+01,2.999999999999996447e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.758821299312848652e+01,8.276574412401002974e+02,7.671648230815572567e-02
3.919132607367379251e+01,4.383192337970837826e+01,3.279999999999995453e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.548834645432935631e+01,5.049643246818210400e+02,7.540173297335847624e-02
3.956325979100463996e+01,4.486374908045702625e+01,3.359999999999995168e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.053280568650303550e+01,4.315195856384388549e+02,7.894030723970776875e-02
3.976121545959306047e+01,4.518903608073221534e+01,3.479999999999994742e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.941116603592960033e+01,2.865833416196650205e+02,8.288773982412696306e-02
4.032585620264414672e+01,4.580133881624988135e+01,3.639999999999994174e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.840277872354786126e+01,1.382274034011144863e+02,9.402867303042834746e-02
4.114412177167449869e+01,4.648648974339957363e+01,3.799999999999993605e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.700514826593919082e+01,8.341342012892049240e+01,9.971194918054146483e-02
4.202703285783705667e+01,4.697769870885679921e+01,3.919999999999993179e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.569309996600885704e+01,4.106133712514977674e+01,1.030493134674075328e-01
4.299693941829682586e+01,4.742850374381884393e+01,4.119999999999992468e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.415410021007157759e+01,2.154139883000936706e+01,1.080106186785242534e-01
4.401070704277221779e+01,4.778430530378991392e+01,4.239999999999992042e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.344708670713391463e+01,9.539561136594453927e+00,1.100142936108947783e-01
4.496383696943686914e+01,4.804541366334765229e+01,4.399999999999991473e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.304901916122735628e+01,5.960411179668224868e+00,1.111120382800726558e-01
4.601081065268292747e+01,4.829095929254394548e+01,4.559999999999990905e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.258935713153053548e+01,3.157390072742378706e+00,1.131857388862442387e-01
4.698303481417126903e+01,4.847988444736003544e+01,4.799999999999990052e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.232722733390931147e+01,2.469305265783278358e+00,1.146612056211044200e-01
4.871701644214006421e+01,4.875846976993203441e+01,4.959999999999989484e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.215550267509197369e+01,1.796795155579169467e+00,1.152550079482578954e-01
4.996505936944017634e+01,4.891239559932577663e+01,5.079999999999989058e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.192089922487751785e+01,1.724056188737290718e+00,1.163514214735252295e-01
5.164350918013570890e+01,4.908955530560718472e+01,5.239999999999988489e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.195380792186469421e+01,1.459658048053445345e+00,1.163444238764558547e-01
5.285520729750498248e+01,4.919971853056172506e+01,5.399999999999987921e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.206717551532388022e+01,1.642543185495817681e+00,1.182474969682637822e-01
5.437302282486962923e+01,4.931756849937656284e+01,5.599999999999987210e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.237880258756448093e+01,1.777265172070202848e+00,1.176843946431066906e-01
5.544816276096191388e+01,4.939224121122545341e+01,5.759999999999986642e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.197118197025906383e+01,1.673583222998901832e+00,1.186081928995129792e-01
5.664717214863052419e+01,4.946529230375390540e+01,5.839999999999986358e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.169802125431221285e+01,1.678871255086602066e+00,1.175691920070118940e-01
5.741410074713495248e+01,4.950605135182085093e+01,5.959999999999985931e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.203112652351757106e+01,1.684257096478453120e+00,1.187185836676472872e-01
5.849811578447777549e+01,4.956032086212594834e+01,6.039999999999985647e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.178794135909340390e+01,1.373323487111456354e+00,1.190440875717090202e-01
5.962717551448667308e+01,4.961105135989546966e+01,6.159999999999985221e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.157074431630969791e+01,1.671397361184928654e+00,1.183357180556795785e-01
6.107320394061494540e+01,4.966926648682731127e+01,6.279999999999984794e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.223270264604403934e+01,1.372293485707057448e+00,1.171227850854398705e-01
6.235234963369966721e+01,4.971110293710155048e+01,6.399999999999984368e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.218615748525895626e+01,1.197369793972689722e+00,1.190811817609803702e-01
6.362609818116340676e+01,4.974757924748219295e+01,6.519999999999986073e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.236266458131212609e+01,1.750052721397919342e+00,1.193139526865978350e-01
6.486510516075651367e+01,4.978283961119948486e+01,6.639999999999987779e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.286954047957768132e+01,2.054743739321251539e+00,1.183437412317044912e-01
6.582150462608235841e+01,4.980359656986247785e+01,6.719999999999988916e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.234291690310898382e+01,1.765541348654333875e+00,1.178782705899837913e-01
6.691338807866391392e+01,4.982136609364858515e+01,6.799999999999990052e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.234570570030240511e+01,1.177787378285068520e+00,1.169805438504151751e-01
6.792262999236622534e+01,4.983742735071756869e+01,6.959999999999992326e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.178033014305236748e+01,1.245383134352027854e+00,1.189197226305282601e-01
6.960565646487297897e+01,4.986018155934503682e+01,7.119999999999994600e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.193648394942834301e+01,4.906201471851753837e+01,1.192706617914409267e-01
7.084742424894169233e+01,4.987505261223545716e+01,7.199999999999995737e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.167826734347715067e+01,4.036549643226283735e+00,1.195169738366331780e-01
7.217464721806804562e+01,4.989412585854016413e+01,7.399999999999998579e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.151556615890159563e+01,1.021272528507880040e+01,1.207253308321328267e-01
7.333668210391529385e+01,4.991692358430839960e+01,7.520000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.186766177685199963e+01,6.155176372009012198e+01,1.224237014210728808e-01
7.429504762318754274e+01,4.994070201291862077e+01,7.680000000000002558e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.181267465296267360e+01,1.217739475697406135e+02,1.247505702974278097e-01
7.519779984770511305e+01,4.994224063240376665e+01,7.800000000000004263e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.181350104771084020e+01,2.158513784611526773e+02,1.275435311086265677e-01
7.576797883077337303e+01,4.993550516309937137e+01,7.880000000000005400e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.223721014119550077e+01,4.860105769549510342e+02,1.282324447550762248e-01
7.657776799367667309e+01,4.994459476390293418e+01,7.960000000000006537e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.320131614465385361e+01,1.015385005252698079e+03,1.300107104300196048e-01
7.685043666487374026e+01,4.993869181637040811e+01,7.960000000000006537e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.370439830759625188e+01,1.288514093184168132e+03,1.370409295410117412e-01
7.708930392190728753e+01,4.993940107890894353e+01,8.080000000000008242e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.374564363986123539e+01,2.281018455468130924e+03,1.378337326356141312e-01
7.738004903446399396e+01,4.997548072143987241e+01,8.240000000000010516e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.439460226415170219e+01,1.468244619790192473e+03,1.371849850316338437e-01
7.748644601752556582e+01,4.997724715559428432e+01,8.320000000000011653e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.476141406053543115e+01,1.436977120611484679e+03,1.395919559244137298e-01
7.813873319040240517e+01,4.999363679871609634e+01,8.480000000000013927e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.496912687412143050e+01,2.237877195536720592e+03,1.412048156989108016e-01
7.831996222789237549e+01,5.002640872597233113e+01,8.520000000000014495e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.601615556794916628e+01,2.007704631976870360e+03,1.428772795909421800e-01
