com_x, com_y, target_x, target_y, connectivity, cohesion, vel_mismatch, en_deviation
3.609658503317135114e+01,3.861703796331730842e+01,2.359999999999998721e+01,5.000000000000000000e+01,8.199999999999999512e-01,4.422694232818029292e+01,1.455520924661372192e+03,9.721777403097116299e-02
3.569241212812821828e+01,4.093606383795147252e+01,2.599999999999997868e+01,5.000000000000000000e+01,9.799999999999999822e-01,3.683680723455499617e+01,8.541929690748972916e+02,7.300340505547381342e-02
3.632325357599743398e+01,4.309143929973983944e+01,2.759999999999997300e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.830474571635980396e+01,4.990679743375259818e+02,7.347199211866466129e-02
3.707858329514917983e+01,4.433626229366954874e+01,2.919999999999996732e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.375674616655749105e+01,2.862633911206326616e+02,8.348449294505844165e-02
3.794224046380225701e+01,4.532393947917444876e+01,3.159999999999995879e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.059987381531433925e+01,1.632342466265073995e+02,9.234154818226306127e-02
3.906132734997002132e+01,4.607347520373110683e+01,3.359999999999995168e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.039642430727632316e+01,7.838267714169143119e+01,9.653337910942771938e-02
4.042598601294033500e+01,4.677661491253704185e+01,3.599999999999994316e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.695697149314356267e+01,4.574960196937954038e+01,1.032666468219563677e-01
4.123315316101356842e+01,4.709512832100189428e+01,3.719999999999993889e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.718774180042965938e+01,2.104208163727217951e+01,1.054074740360154278e-01
4.269554473820767271e+01,4.757262847250451898e+01,3.839999999999993463e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.612510653280985196e+01,9.312333490720957840e+00,1.084976415862609345e-01
4.406680408992048825e+01,4.795564793190906272e+01,3.959999999999993037e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.385135458860856694e+01,3.442607497329240651e+00,1.118122786306519484e-01
4.581458455289125453e+01,4.833487802806209288e+01,4.279999999999991900e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.291931966525333841e+01,2.498109776317363195e+00,1.132522328288838587e-01
4.689989555254697962e+01,4.852818930585074497e+01,4.319999999999991758e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.288353164884422597e+01,2.194578220714384464e+00,1.122069330887659616e-01
4.814129899725637785e+01,4.871884417969492631e+01,4.439999999999991331e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.300650692054458268e+01,1.742194514314767018e+00,1.131303887657890278e-01
4.946626240877225200e+01,4.889510597867836594e+01,4.559999999999990905e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.284935664778309672e+01,1.418481024441370586e+00,1.120962357798585274e-01
5.102051642105308815e+01,4.906891408558844603e+01,4.679999999999990479e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.326181552654199436e+01,1.228556596494321251e+00,1.123120640161993367e-01
