com_x, com_y, target_x, target_y, connectivity, cohesion, vel_mismatch, en_deviation
3.672705431552831357e+01,3.646751140344060360e+01,2.279999999999999005e+01,5.000000000000000000e+01,8.399999999999999689e-01,4.325398422969075085e+01,1.468608786853246556e+03,8.875449710703102457e-02
3.656118071793564184e+01,3.763715071610786822e+01,2.439999999999998437e+01,5.000000000000000000e+01,8.800000000000000044e-01,4.412597809241290037e+01,1.269796405720443545e+03,8.238212833291680415e-02
3.669230144831280427e+01,3.863520064789465636e+01,2.639999999999997726e+01,5.000000000000000000e+01,9.399999999999999467e-01,4.484559297746945106e+01,1.011478220920621652e+03,8.065110080181232821e-02
3.696696185624467290e+01,3.957036809614741202e+01,2.799999999999997158e+01,5.000000000000000000e+01,9.599999999999999645e-01,4.532274517972660988e+01,7.680483989596879155e+02,8.535779534667219115e-02
3.740174576058316802e+01,4.055026086823992415e+01,2.959999999999996589e+01,5.000000000000000000e+01,9.599999999999999645e-01,4.522470271952702348e+01,5.315468977153334436e+02,8.503801777162574294e-02
3.781537073780987868e+01,4.138114251775582630e+01,3.119999999999996021e+01,5.000000000000000000e+01,9.399999999999999467e-01,4.519136709566444665e+01,3.616860009675723404e+02,8.911436699001844264e-02
3.858088696859299205e+01,4.214160251781895283e+01,3.279999999999995453e+01,5.000000000000000000e+01,9.399999999999999467e-01,4.490679924211567453e+01,1.952090983230537802e+02,8.415543765812136257e-02
3.982684331206398554e+01,4.308288760009755691e+01,3.559999999999994458e+01,5.000000000000000000e+01,9.399999999999999467e-01,4.513845283733431302e+01,1.044018219526731031e+02,9.662481509279113867e-02
4.128197019164277037e+01,4.388297192439192429e+01,3.759999999999993747e+01,5.000000000000000000e+01,9.399999999999999467e-01,4.563852742506488624e+01,8.277155277200276373e+01,1.005295827080167487e-01
4.256363447341293238e+01,4.451078058392526771e+01,4.039999999999992752e+01,5.000000000000000000e+01,9.200000000000000400e-01,4.614923181763514748e+01,7.511438762222076093e+01,1.065733943037554254e-01
4.403763375236632527e+01,4.506653669424937192e+01,4.239999999999992042e+01,5.000000000000000000e+01,9.200000000000000400e-01,4.871994305435196537e+01,6.686006939543230487e+01,1.120871076813369782e-01
4.494347061831289381e+01,4.540991176178994237e+01,4.399999999999991473e+01,5.000000000000000000e+01,9.200000000000000400e-01,5.071671400723644041e+01,6.399657057011597061e+01,1.127524832286564416e-01
4.587055358040420572e+01,4.569913144080683765e+01,4.599999999999990763e+01,5.000000000000000000e+01,9.200000000000000400e-01,5.322764646847716818e+01,5.630205871350755586e+01,1.140183358099386562e-01
4.641852611514325133e+01,4.585540879683977522e+01,4.679999999999990479e+01,5.000000000000000000e+01,9.200000000000000400e-01,5.432891285056444275e+01,5.499559359587004792e+01,1.147997956241703643e-01
4.700265124819192408e+01,4.601308281775501285e+01,4.759999999999990195e+01,5.000000000000000000e+01,9.200000000000000400e-01,5.552048089964270616e+01,6.906437943725769912e+01,1.146769408135676488e-01
4.801218384630562497e+01,4.623123404134732795e+01,4.919999999999989626e+01,5.000000000000000000e+01,9.200000000000000400e-01,5.801528907799372092e+01,6.547285966111094524e+01,1.159584467801082347e-01
