com_x, com_y, target_x, target_y, connectivity, cohesion, vel_mismatch, en_deviation
3.690311524145101885e+01,3.918049299749112180e+01,2.319999999999998863e+01,5.000000000000000000e+01,8.666666666666666963e-01,4.731562506494508824e+01,1.492428827372238629e+03,8.956450940195233301e-02
3.661550523333588103e+01,4.087479527386002331e+01,2.479999999999998295e+01,5.000000000000000000e+01,9.555555555555556024e-01,4.183084468193275285e+01,1.246716802784371112e+03,7.358977314041457995e-02
3.664144132720871028e+01,4.190536482580325384e+01,2.599999999999997868e+01,5.000000000000000000e+01,9.777777777777777457e-01,3.760085340539255583e+01,1.010946886167211574e+03,7.609279506805025073e-02
3.674560489865217505e+01,4.277689269708740483e+01,2.679999999999997584e+01,5.000000000000000000e+01,9.777777777777777457e-01,3.304838004415120167e+01,7.549135197614949675e+02,7.440920716435540927e-02
3.700767792994108873e+01,4.356662838981303310e+01,2.839999999999997016e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.678047284961003882e+01,5.238613885344909704e+02,7.731088130432427208e-02
3.753585237633923555e+01,4.444033545450489697e+01,3.119999999999996021e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.234981175149361832e+01,3.675765737332044978e+02,8.418995200984259741e-02
3.807041493982705305e+01,4.500000217056201279e+01,3.199999999999995737e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.027832949206023372e+01,2.354004907602925698e+02,8.452457472301012908e-02
3.872149984889453833e+01,4.560988748286655436e+01,3.399999999999995026e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.784903508093110247e+01,1.415982411056866113e+02,9.154294941527053864e-02
3.954643637835025061e+01,4.623321462527056980e+01,3.559999999999994458e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.632975769803700317e+01,8.823908339119975608e+01,9.826959089385337021e-02
4.041168515967253683e+01,4.677709626806345256e+01,3.719999999999993889e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.538102303736584275e+01,5.079672452232951230e+01,1.037593949129353155e-01
4.131927961638137958e+01,4.720396864459202391e+01,3.839999999999993463e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.438407171347697933e+01,2.957874596488285590e+01,1.071760637524225568e-01
4.210013631181547566e+01,4.750615442790319065e+01,3.919999999999993179e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.391921873077961891e+01,1.693668374298136925e+01,1.079622853445496578e-01
4.304056882812221119e+01,4.779657515255898659e+01,3.959999999999993037e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.317869847471398259e+01,9.536091420301648469e+00,1.088876073376145309e-01
4.397039280296367281e+01,4.804990403267200350e+01,3.999999999999992895e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.278553387178785172e+01,6.764466564018190908e+00,1.105031255149279412e-01
4.487250590420376994e+01,4.825700629793962548e+01,4.079999999999992610e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.285796036533031028e+01,4.545379489991842270e+00,1.128278595423443387e-01
4.575265460967072073e+01,4.843708998614046379e+01,4.239999999999992042e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.315754044758187824e+01,3.933524608920230037e+00,1.136129701615720966e-01
4.670176996621698606e+01,4.858642948468222755e+01,4.439999999999991331e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.280021689818982189e+01,3.824595340197073590e+00,1.148584632818109852e-01
4.772384955000033102e+01,4.872251169882797939e+01,4.639999999999990621e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.244863326206539078e+01,2.826047368585364428e+00,1.146379605211927943e-01
4.894402466913795990e+01,4.886369868438946895e+01,4.719999999999990337e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.198592733101260066e+01,2.129071465301278998e+00,1.155577935147955038e-01
4.989793333286807098e+01,4.896157596183610394e+01,4.879999999999989768e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.159300620119561565e+01,2.509441060872596996e+00,1.136423031060049826e-01
5.137234396439063033e+01,4.909886042072054835e+01,4.999999999999989342e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.209807190383320297e+01,2.077169575571856441e+00,1.146473385065692741e-01
5.276761809935086234e+01,4.921519142092295596e+01,5.119999999999988916e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.202980309034207984e+01,2.306634356879619929e+00,1.138169853162640383e-01
5.364821936455866336e+01,4.927672246924704069e+01,5.159999999999988773e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.203112344652508270e+01,2.654676963095188302e+00,1.139243917216676005e-01
5.488826145065949191e+01,4.936419533743631405e+01,5.359999999999988063e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.182684157994950347e+01,1.952359593336577381e+00,1.140693588539113679e-01
5.601784362521127747e+01,4.943284903906925365e+01,5.399999999999987921e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.223235973841102009e+01,1.875840739607671503e+00,1.153392604643757036e-01
5.700330657784440547e+01,4.948272757220349405e+01,5.519999999999987494e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.228118769444363956e+01,1.851722251614253967e+00,1.162726306287698436e-01
5.828203886143542434e+01,4.954280855931670402e+01,5.639999999999987068e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.212530643412044107e+01,1.501228688632510799e+00,1.136033753800615581e-01
5.927303285424961388e+01,4.958396053648103674e+01,5.719999999999986784e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.217120028062354642e+01,1.637042061399496484e+00,1.149810444078559757e-01
6.024515750768438949e+01,4.962460520042058221e+01,5.799999999999986500e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.222499170832105087e+01,1.923789950003378824e+00,1.141105628964002583e-01
6.105003562374405135e+01,4.965777613288762637e+01,5.919999999999986073e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.233801739951866594e+01,1.855953982329241914e+00,1.124536993255199208e-01
6.182133051661190137e+01,4.968892595762645925e+01,5.999999999999985789e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.264723728166517525e+01,1.904725116681071251e+00,1.122449970629312149e-01
6.298793320165732723e+01,4.973624093443603300e+01,6.079999999999985505e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.239459946473419549e+01,2.176786764529703877e+00,1.110181509501827063e-01
6.405062434111212610e+01,4.977309381375290087e+01,6.199999999999985079e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.253663067143655141e+01,1.948008971679373813e+00,1.120407122232138092e-01
6.564075612085245837e+01,4.981917638750488209e+01,6.399999999999984368e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.252123441869948195e+01,2.102089226824377377e+00,1.120106801686727854e-01
6.669296358122355173e+01,4.984417795346515589e+01,6.559999999999986642e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.243764338962285798e+01,2.110207744073554714e+00,1.112394715838740111e-01
6.762745570381161997e+01,4.986232662300095342e+01,6.639999999999987779e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.251268010267072661e+01,2.322998453295693100e+00,1.126148430933287120e-01
6.877769891582681794e+01,4.988153962962303467e+01,6.719999999999988916e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.213331613373423856e+01,2.357390304120275282e+00,1.146340151347899489e-01
6.988400848073068516e+01,4.989888522712372776e+01,6.839999999999990621e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.210174783469960147e+01,2.269822114041871952e+00,1.152432194341415916e-01
7.126002991530474162e+01,4.991537763569744612e+01,6.999999999999992895e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.218851798714912604e+01,5.384230423016685307e+01,1.124193000054416608e-01
7.265805929550673170e+01,4.992181297211500635e+01,7.199999999999995737e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.261761800103344555e+01,7.142179946288796089e+01,1.151860888865375160e-01
7.382052253442120104e+01,4.989838245445400844e+01,7.319999999999997442e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.220121737765534853e+01,9.955617831426876307e+01,1.166883754565021941e-01
7.482571061916084432e+01,4.987361132128924623e+01,7.439999999999999147e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.166497336045408417e+01,1.100593166627288610e+02,1.203725919141905298e-01
7.586299897629747591e+01,4.985888678946953689e+01,7.560000000000000853e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.180801616393166498e+01,2.760412634391940969e+02,1.248898134615849392e-01
7.676128355142158455e+01,4.985959803827536518e+01,7.680000000000002558e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.117760426533990170e+01,2.272573051992144428e+02,1.263579817939182726e-01
7.757975726410511186e+01,4.986818768676848634e+01,7.840000000000004832e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.118268699669936161e+01,2.546069594409168815e+02,1.275695020348285857e-01
7.821220180746382766e+01,4.984869849119333907e+01,7.960000000000006537e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.151862088305584741e+01,5.361875391929344232e+02,1.296934322194747691e-01
7.870653721299289884e+01,4.985008328885576390e+01,8.040000000000007674e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.169759109540899189e+01,1.469599860785116334e+03,1.339267658328913702e-01
7.905661891925547025e+01,4.985239392196928065e+01,8.240000000000010516e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.191310202205629309e+01,1.894323865890019533e+03,1.378738301409275224e-01
7.925861043788319193e+01,4.982814178469351418e+01,8.400000000000012790e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.268446226954760903e+01,1.983948773844993411e+03,1.395907987220456614e-01
7.964070557232828662e+01,4.975156263437390436e+01,8.480000000000013927e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.311083287732909852e+01,1.122067308311065062e+03,1.407673148361619220e-01
7.998095041813830619e+01,4.977675652237348203e+01,8.680000000000016769e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.372961289976850985e+01,4.020698025693242244e+02,1.445336186749864582e-01
8.031913528197071628e+01,4.975020487925183943e+01,8.760000000000017906e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.380154167189369652e+01,3.493755238899273081e+02,1.464007337442312373e-01
8.072189303595263254e+01,4.974022826516333851e+01,8.760000000000017906e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.472789806965587367e+01,5.480413921920312532e+02,1.455953329344494285e-01
8.124716427360145587e+01,4.972842316844639043e+01,8.880000000000019611e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.537419104537998926e+01,1.487003702421981870e+03,1.520520696140099937e-01
8.155254018203612532e+01,4.974062957243849326e+01,9.040000000000021885e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.651671910351979022e+01,1.563134290970215716e+03,1.521158944092949328e-01
8.205523085408093209e+01,4.972767084198324028e+01,9.160000000000023590e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.708364557123571714e+01,2.451969817727224836e+03,1.554891520494700585e-01
8.235147409738486601e+01,4.973405546800287169e+01,9.360000000000026432e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.788611731726409459e+01,1.630451770811027927e+03,1.635986553072850680e-01
8.239248342037190298e+01,4.967494168451826653e+01,9.440000000000027569e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.894350758164035042e+01,7.700450909597213922e+02,1.632419539865563596e-01
8.269254467168281053e+01,4.963713312020167479e+01,9.480000000000028137e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.974644259609024743e+01,5.233864729915562748e+02,1.654748024871063039e-01
8.325926699155148469e+01,4.966275561029667784e+01,9.520000000000028706e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.026006772759179952e+01,6.050691984191156507e+02,1.682964864992454179e-01
8.395127027393198205e+01,4.966504761167317383e+01,9.680000000000030980e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.090266363597165267e+01,1.048306878525032062e+03,1.751927179386885414e-01
8.437584989254641243e+01,4.968278632422224206e+01,9.800000000000032685e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.202196878649775869e+01,1.276484947091963704e+03,1.796278460005469868e-01
8.455753237634947084e+01,4.971982981184148542e+01,9.880000000000033822e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.255804287226569116e+01,6.586648634755918010e+02,1.850722703282254022e-01
8.514020622059095444e+01,4.964499549669022116e+01,1.000000000000003553e+02,5.000000000000000000e+01,1.000000000000000000e+00,2.368299201426055944e+01,8.819716602991744594e+02,1.805339097766061329e-01
8.552311140165036818e+01,4.967414245425756292e+01,1.008000000000003666e+02,5.000000000000000000e+01,1.000000000000000000e+00,2.394720186484136448e+01,1.021274795071199719e+03,1.943733365886556319e-01
8.595919021504622037e+01,4.964751002821829218e+01,1.020000000000003837e+02,5.000000000000000000e+01,1.000000000000000000e+00,2.515235315850912556e+01,9.251253938366863849e+02,1.925200421059240774e-01
8.659122907213969711e+01,4.964223064818276754e+01,1.036000000000004064e+02,5.000000000000000000e+01,1.000000000000000000e+00,2.572530198254862555e+01,5.947083685984606518e+02,2.100934474386369211e-01
