com_x, com_y, target_x, target_y, connectivity, cohesion, vel_mismatch, en_deviation
3.793924601235158889e+01,3.376418570470745806e+01,2.399999999999998579e+01,5.000000000000000000e+01,8.800000000000000044e-01,4.360300277533642088e+01,1.503964080019326730e+03,1.010895054610438520e-01
3.779603139317057980e+01,3.611385367214346331e+01,2.639999999999997726e+01,5.000000000000000000e+01,9.599999999999999645e-01,4.171745494624379802e+01,1.116405665087773286e+03,8.395098800530034766e-02
3.775288487260636572e+01,3.776471997756139842e+01,2.799999999999997158e+01,5.000000000000000000e+01,9.399999999999999467e-01,4.046104361078852207e+01,8.066346717878561776e+02,8.361806458436246703e-02
3.793466970204219280e+01,3.938615155493614850e+01,3.079999999999996163e+01,5.000000000000000000e+01,9.399999999999999467e-01,3.941234321218906445e+01,5.721229511404927734e+02,8.055080304592655838e-02
3.835170708385015814e+01,4.067197911582429981e+01,3.279999999999995453e+01,5.000000000000000000e+01,9.399999999999999467e-01,3.880623400875020224e+01,3.848035270107117753e+02,8.655591902978582164e-02
3.880617130253435221e+01,4.180583063785889664e+01,3.439999999999994884e+01,5.000000000000000000e+01,9.399999999999999467e-01,3.836777049608740242e+01,2.541619495004731277e+02,8.899221322278037805e-02
3.950878665538874657e+01,4.288541992824661264e+01,3.599999999999994316e+01,5.000000000000000000e+01,9.399999999999999467e-01,3.818810766265106338e+01,1.315489784576062391e+02,9.025540666382549093e-02
4.060265276232323828e+01,4.392962365541306724e+01,3.839999999999993463e+01,5.000000000000000000e+01,9.200000000000000400e-01,3.838119561892092690e+01,6.151394281563150201e+01,9.800726743440942024e-02
4.202404382267491201e+01,4.495758344361356507e+01,4.039999999999992752e+01,5.000000000000000000e+01,9.399999999999999467e-01,3.896638904151854632e+01,3.955084476749177469e+01,1.030881717024816624e-01
4.351594624420549451e+01,4.571377081181530855e+01,4.199999999999992184e+01,5.000000000000000000e+01,9.399999999999999467e-01,3.971438804830743408e+01,2.914196822452097990e+01,1.071331669838652551e-01
4.518453093277721422e+01,4.635011696188539077e+01,4.399999999999991473e+01,5.000000000000000000e+01,9.399999999999999467e-01,4.078640843005770478e+01,2.810487836188720223e+01,1.098860181582300560e-01
4.676279565303070740e+01,4.680317985059926400e+01,4.599999999999990763e+01,5.000000000000000000e+01,9.399999999999999467e-01,4.191854780543396686e+01,2.833009988223384923e+01,1.111989920763304523e-01
4.781361119047687680e+01,4.704429796197693747e+01,4.679999999999990479e+01,5.000000000000000000e+01,9.399999999999999467e-01,4.271965087658077920e+01,2.887223665967772845e+01,1.121349518517245070e-01
4.856476429777646331e+01,4.719791728391621888e+01,4.759999999999990195e+01,5.000000000000000000e+01,9.399999999999999467e-01,4.330844992537266336e+01,2.880874970692372372e+01,1.126727339991832194e-01
4.909662807075228841e+01,4.729835746250542172e+01,4.839999999999989910e+01,5.000000000000000000e+01,9.000000000000000222e-01,4.373253848580833392e+01,2.887888327493060814e+01,1.133748295412333046e-01
4.967847692808712168e+01,4.740018013944208519e+01,4.839999999999989910e+01,5.000000000000000000e+01,9.000000000000000222e-01,4.420307644991863327e+01,2.961111919334046760e+01,1.136991841246735996e-01
5.016251097044239060e+01,4.748341812001464035e+01,4.919999999999989626e+01,5.000000000000000000e+01,9.000000000000000222e-01,4.459734905036314245e+01,2.995098755324053741e+01,1.162201083042906369e-01
