com_x, com_y, target_x, target_y, connectivity, cohesion, vel_mismatch, en_deviation
3.643926954504341609e+01,4.113453206591736944e+01,2.319999999999998863e+01,5.000000000000000000e+01,8.444444444444444420e-01,4.292331922592750004e+01,1.628561267232688351e+03,9.697113113432820342e-02
3.616035976577551025e+01,4.222355302482487360e+01,2.519999999999998153e+01,5.000000000000000000e+01,9.333333333333333481e-01,3.958875278800079656e+01,1.386860411360210946e+03,6.727028602891658993e-02
3.611727399276809791e+01,4.328209930629414259e+01,2.639999999999997726e+01,5.000000000000000000e+01,1.000000000000000000e+00,3.218032023186811585e+01,1.031052352607938246e+03,5.867847493221751976e-02
3.627125104837063674e+01,4.412902018693058892e+01,2.719999999999997442e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.802283957284467064e+01,7.691215748245728037e+02,5.840095562757972869e-02
3.658487453642500498e+01,4.482615404360035427e+01,2.799999999999997158e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.545658095425060452e+01,5.540790880623758312e+02,6.087068826189223625e-02
3.703704629101957835e+01,4.540480971647187403e+01,2.919999999999996732e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.245353586389626344e+01,4.079114458240368322e+02,6.989274036290990533e-02
3.764751547844412016e+01,4.591594929186685192e+01,3.039999999999996305e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.894030720877540830e+01,2.727534745108730476e+02,7.762624757473017556e-02
3.829219213058149052e+01,4.636541267360034624e+01,3.159999999999995879e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.813666088059212811e+01,2.115803861438383535e+02,8.604658298208590905e-02
3.889706494976713458e+01,4.666933553713254668e+01,3.279999999999995453e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.741898626826537111e+01,1.180473701311403545e+02,9.003968237363350891e-02
4.003125547740572188e+01,4.719019959792358065e+01,3.559999999999994458e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.597946065796953619e+01,4.736688029153057045e+01,9.745400133830443845e-02
4.147104595449721387e+01,4.770123849951137629e+01,3.839999999999993463e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.421110811610359193e+01,2.267224807153369781e+01,1.013310136149998680e-01
4.269530467507129856e+01,4.803795927054368775e+01,3.919999999999993179e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.315900069676163042e+01,1.107593369774784620e+01,1.041007293170904957e-01
4.400517618272730402e+01,4.832203915513240844e+01,4.119999999999992468e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.306058809254334108e+01,7.285914641610770737e+00,1.104606268137259401e-01
4.452783763434979392e+01,4.841419784456859787e+01,4.159999999999992326e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.344564531518971862e+01,5.783342733687995008e+00,1.105816454932541798e-01
4.500624140447947497e+01,4.849338092552009982e+01,4.199999999999992184e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.380253096412348945e+01,4.240418666195465924e+00,1.115275339725621540e-01
4.571297419420857722e+01,4.861047095173350385e+01,4.239999999999992042e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.360437065015592850e+01,3.144573033973653065e+00,1.120910430381492767e-01
4.635288493136089016e+01,4.870409534521824213e+01,4.319999999999991758e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.408528875003155711e+01,2.688226261927558092e+00,1.122164288991136794e-01
4.703341763243543028e+01,4.879416286597442109e+01,4.359999999999991616e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.421438059240836616e+01,2.696008740479444832e+00,1.131813783849351246e-01
4.753040495880451033e+01,4.885988125506688107e+01,4.399999999999991473e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.378213328047302078e+01,2.671165573336564236e+00,1.143554937541429312e-01
4.810618098556697930e+01,4.892524005821534416e+01,4.439999999999991331e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.380225814405842399e+01,2.390989086322978796e+00,1.148726323414864248e-01
